run_id,dataset,model,batch_size,optimizer,lr,pin_memory,epochs,test_accuracy,test_f1,test_precision,test_recall,training_time_sec,gpu_id
50,MNIST,ResNet50,32,SGD,0.001,True,2,97.742857,0.977435,0.977619,0.977429,91.672861,0
51,MNIST,ResNet50,32,SGD,0.001,True,5,98.585714,0.985847,0.985897,0.985857,226.101295,1
52,MNIST,ResNet50,32,SGD,0.0001,False,2,93.528571,0.93537,0.935951,0.935286,91.415019,0
53,MNIST,ResNet50,32,SGD,0.0001,False,5,96.785714,0.967864,0.968011,0.967857,230.665051,1
54,MNIST,ResNet50,32,SGD,0.0001,True,2,93.842857,0.938476,0.938754,0.938429,91.797894,0
55,MNIST,ResNet50,32,SGD,0.0001,True,5,96.942857,0.969381,0.969524,0.969429,229.977396,1
56,MNIST,ResNet50,32,Adam,0.001,False,2,95.135714,0.951185,0.953578,0.951357,104.497362,0
57,MNIST,ResNet50,32,Adam,0.001,False,5,98.114286,0.981149,0.981189,0.981143,260.947787,1
58,MNIST,ResNet50,32,Adam,0.001,True,2,97.571429,0.975743,0.97615,0.975714,104.484349,0
59,MNIST,ResNet50,32,Adam,0.001,True,5,98.2,0.982005,0.982207,0.982,263.053784,1
60,MNIST,ResNet50,32,Adam,0.0001,False,2,94.907143,0.949162,0.950157,0.949071,104.630257,0
61,MNIST,ResNet50,32,Adam,0.0001,False,5,97.157143,0.971575,0.971786,0.971571,261.196265,1
62,MNIST,ResNet50,32,Adam,0.0001,True,2,94.664286,0.946602,0.947255,0.946643,104.800598,0
63,MNIST,ResNet50,32,Adam,0.0001,True,5,97.2,0.971953,0.972271,0.972,260.498787,1
64,FashionMNIST,ResNet18,16,SGD,0.001,False,2,89.014286,0.890595,0.892746,0.890143,86.763352,0
65,FashionMNIST,ResNet18,16,SGD,0.001,False,5,90.1,0.900651,0.901831,0.901,215.805686,1
66,FashionMNIST,ResNet18,16,SGD,0.001,True,2,86.207143,0.862285,0.878694,0.862071,85.805088,0
67,FashionMNIST,ResNet18,16,SGD,0.001,True,5,90.107143,0.901197,0.901722,0.901071,210.814127,1
68,FashionMNIST,ResNet18,16,SGD,0.0001,False,2,85.885714,0.859825,0.864911,0.858857,85.963984,0
69,FashionMNIST,ResNet18,16,SGD,0.0001,False,5,88.292857,0.881451,0.881495,0.882929,210.690578,1
70,FashionMNIST,ResNet18,16,SGD,0.0001,True,2,86.95,0.869519,0.870524,0.8695,84.357115,0
71,FashionMNIST,ResNet18,16,SGD,0.0001,True,5,88.757143,0.887898,0.888529,0.887571,212.108158,1
72,FashionMNIST,ResNet18,16,Adam,0.001,False,2,86.492857,0.864866,0.88385,0.864929,97.469665,0
73,FashionMNIST,ResNet18,16,Adam,0.001,False,5,89.421429,0.894652,0.896283,0.894214,242.255827,1
74,FashionMNIST,ResNet18,16,Adam,0.001,True,2,88.321429,0.882973,0.884709,0.883214,97.243505,0
75,FashionMNIST,ResNet18,16,Adam,0.001,True,5,90.671429,0.906165,0.906961,0.906714,244.008739,1
76,FashionMNIST,ResNet18,16,Adam,0.0001,False,2,88.564286,0.886322,0.888889,0.885643,97.594784,0
77,FashionMNIST,ResNet18,16,Adam,0.0001,False,5,89.757143,0.898469,0.900516,0.897571,243.527458,1
78,FashionMNIST,ResNet18,16,Adam,0.0001,True,2,86.842857,0.868519,0.873505,0.868429,97.837528,0
79,FashionMNIST,ResNet18,16,Adam,0.0001,True,5,89.5,0.895556,0.897169,0.895,245.785283,1
80,FashionMNIST,ResNet18,32,SGD,0.001,False,2,88.178571,0.877873,0.884152,0.881786,45.180971,0
81,FashionMNIST,ResNet18,32,SGD,0.001,False,5,89.085714,0.890645,0.893143,0.890857,111.566961,1
82,FashionMNIST,ResNet18,32,SGD,0.001,True,2,88.078571,0.878949,0.881449,0.880786,44.6841,0
83,FashionMNIST,ResNet18,32,SGD,0.001,True,5,89.985714,0.899444,0.900392,0.899857,111.17384,1
84,FashionMNIST,ResNet18,32,SGD,0.0001,False,2,85.721429,0.855151,0.855246,0.857214,45.357002,0
85,FashionMNIST,ResNet18,32,SGD,0.0001,False,5,87.492857,0.874886,0.875352,0.874929,109.205193,1
86,FashionMNIST,ResNet18,32,SGD,0.0001,True,2,85.871429,0.859238,0.860107,0.858714,44.162372,0
87,FashionMNIST,ResNet18,32,SGD,0.0001,True,5,87.592857,0.874567,0.875356,0.875929,107.962632,1
88,FashionMNIST,ResNet18,32,Adam,0.001,False,2,88.078571,0.877974,0.883024,0.880786,50.531666,0
89,FashionMNIST,ResNet18,32,Adam,0.001,False,5,89.95,0.90019,0.902525,0.8995,127.590689,1
90,FashionMNIST,ResNet18,32,Adam,0.001,True,2,88.264286,0.880603,0.883966,0.882643,50.564523,0
91,FashionMNIST,ResNet18,32,Adam,0.001,True,5,89.9,0.897369,0.900779,0.899,126.643501,1
92,FashionMNIST,ResNet18,32,Adam,0.0001,False,2,88.521429,0.885051,0.885129,0.885214,50.737906,0
93,FashionMNIST,ResNet18,32,Adam,0.0001,False,5,89.1,0.890097,0.889944,0.891,125.910042,1
94,FashionMNIST,ResNet18,32,Adam,0.0001,True,2,87.421429,0.874717,0.878961,0.874214,50.269625,0
95,FashionMNIST,ResNet18,32,Adam,0.0001,True,5,88.364286,0.883803,0.887289,0.883643,125.667137,1
96,FashionMNIST,ResNet50,16,SGD,0.001,False,2,85.528571,0.852506,0.86042,0.855286,177.343883,0
97,FashionMNIST,ResNet50,16,SGD,0.001,False,5,88.285714,0.879218,0.88753,0.882857,446.852117,1
98,FashionMNIST,ResNet50,16,SGD,0.001,True,2,84.985714,0.844172,0.850956,0.849857,177.685039,0
99,FashionMNIST,ResNet50,16,SGD,0.001,True,5,88.792857,0.888014,0.889429,0.887929,445.948294,1
100,FashionMNIST,ResNet50,16,SGD,0.0001,False,2,80.25,0.799518,0.800097,0.8025,177.617096,0
101,FashionMNIST,ResNet50,16,SGD,0.0001,False,5,85.178571,0.8487,0.852158,0.851786,445.17201,1
102,FashionMNIST,ResNet50,16,SGD,0.0001,True,2,79.028571,0.784646,0.804791,0.790286,186.665335,0
103,FashionMNIST,ResNet50,16,SGD,0.0001,True,5,85.25,0.847295,0.853289,0.8525,475.011566,1
104,FashionMNIST,ResNet50,16,Adam,0.001,False,2,84.107143,0.841161,0.846155,0.841071,217.89518,0
105,FashionMNIST,ResNet50,16,Adam,0.001,False,5,88.15,0.879071,0.881524,0.8815,524.347786,1
106,FashionMNIST,ResNet50,16,Adam,0.001,True,2,84.342857,0.84062,0.844573,0.843429,216.21616,0
107,FashionMNIST,ResNet50,16,Adam,0.001,True,5,87.714286,0.877766,0.88161,0.877143,543.674725,1
108,FashionMNIST,ResNet50,16,Adam,0.0001,False,2,84.664286,0.844365,0.848958,0.846643,239.594875,0
109,FashionMNIST,ResNet50,16,Adam,0.0001,False,5,87.064286,0.870475,0.876092,0.870643,588.73832,1
110,FashionMNIST,ResNet50,16,Adam,0.0001,True,2,83.771429,0.834945,0.837573,0.837714,236.793452,0
111,FashionMNIST,ResNet50,16,Adam,0.0001,True,5,87.25,0.871345,0.873811,0.8725,585.165637,1
112,FashionMNIST,ResNet50,32,SGD,0.001,False,2,84.814286,0.84804,0.852046,0.848143,97.687922,0
113,FashionMNIST,ResNet50,32,SGD,0.001,False,5,88.85,0.887725,0.888682,0.8885,230.841173,1
114,FashionMNIST,ResNet50,32,SGD,0.001,True,2,84.928571,0.851537,0.859346,0.849286,92.505578,0
115,FashionMNIST,ResNet50,32,SGD,0.001,True,5,88.207143,0.879484,0.882073,0.882071,227.150103,1
116,FashionMNIST,ResNet50,32,SGD,0.0001,False,2,78.65,0.778616,0.784123,0.7865,93.213138,0
117,FashionMNIST,ResNet50,32,SGD,0.0001,False,5,83.814286,0.834582,0.835835,0.838143,229.116314,1
118,FashionMNIST,ResNet50,32,SGD,0.0001,True,2,79.2,0.788242,0.787145,0.792,95.240226,0
119,FashionMNIST,ResNet50,32,SGD,0.0001,True,5,83.535714,0.832785,0.835335,0.835357,240.495728,1
120,FashionMNIST,ResNet50,32,Adam,0.001,False,2,84.778571,0.846139,0.857323,0.847786,110.994563,0
121,FashionMNIST,ResNet50,32,Adam,0.001,False,5,81.15,0.806625,0.835053,0.8115,275.709854,1
122,FashionMNIST,ResNet50,32,Adam,0.001,True,2,84.242857,0.83988,0.845941,0.842429,110.70256,0
123,FashionMNIST,ResNet50,32,Adam,0.001,True,5,84.471429,0.839909,0.850925,0.844714,266.255402,1
124,FashionMNIST,ResNet50,32,Adam,0.0001,False,2,83.557143,0.835672,0.838939,0.835571,109.311506,0
125,FashionMNIST,ResNet50,32,Adam,0.0001,False,5,86.5,0.864428,0.868729,0.865,271.624363,1
126,FashionMNIST,ResNet50,32,Adam,0.0001,True,2,82.207143,0.817505,0.825799,0.822071,113.818326,0
127,FashionMNIST,ResNet50,32,Adam,0.0001,True,5,86.657143,0.866063,0.866098,0.866571,269.739542,1
